GeoNode List - Total Count: 44

ID,Name,Service,X,Y,NodeType,RiskXi,RiskCi,Coordinate,ConnectedGeoLinks,Geometry,Degree,HitRectangle,Width,Height
21,"GeoNode","Unknown",237,281,Centroid,0.8,0.8,(-16415.9558286877, 6710137.83099866, 非数字),System.Collections.Generic.List`1[GAsty.Network.Core.GeoLink],POINT (-16415.955828687678 6710137.8309986619),0,{X=230,Y=274,Width=15,Height=15},15,15
22,"GeoNode","Unknown",208,366,Centroid,0.1,0.1,(-16747.088745726, 6709161.55981222, 非数字),System.Collections.Generic.List`1[GAsty.Network.Core.GeoLink],POINT (-16747.088745726032 6709161.55981222),0,{X=201,Y=359,Width=15,Height=15},15,15
23,"GeoNode","Unknown",325,390,Centroid,0.3,0.3,(-15405.4295128982, 6708887.51877743, 非数字),System.Collections.Generic.List`1[GAsty.Network.Core.GeoLink],POINT (-15405.4295128982 6708887.51877743),0,{X=318,Y=383,Width=15,Height=15},15,15
24,"GeoNode","Unknown",306,539,Centroid,0.4,0.4,(-15622.3786654406, 6707191.88987467, 非数字),System.Collections.Generic.List`1[GAsty.Network.Core.GeoLink],POINT (-15622.378665440574 6707191.8898746651),0,{X=299,Y=532,Width=15,Height=15},15,15
25,"GeoNode","Unknown",473,501,Centroid,0.5,0.5,(-13715.5097983576, 6707625.78817975, 非数字),System.Collections.Generic.List`1[GAsty.Network.Core.GeoLink],POINT (-13715.509798357607 6707625.7881797506),0,{X=466,Y=494,Width=15,Height=15},15,15
26,"GeoNode","Unknown",636,458,Centroid,0.7,0.7,(-11860.0236252978, 6708116.77836708, 非数字),System.Collections.Generic.List`1[GAsty.Network.Core.GeoLink],POINT (-11860.023625297836 6708116.7783670826),0,{X=629,Y=451,Width=15,Height=15},15,15
27,"GeoNode","Unknown",848,430,Centroid,0.8,0.8,(-9439.32781798293, 6708430.78371945, 非数字),System.Collections.Generic.List`1[GAsty.Network.Core.GeoLink],POINT (-9439.327817982934 6708430.7837194465),0,{X=841,Y=423,Width=15,Height=15},15,15
28,"GeoNode","Unknown",1028,402,Centroid,0.6,0.6,(-7384.02005705519, 6708750.49826003, 非数字),System.Collections.Generic.List`1[GAsty.Network.Core.GeoLink],POINT (-7384.020057055187 6708750.4982600342),0,{X=1021,Y=395,Width=15,Height=15},15,15
29,"GeoNode","Unknown",927,242,Centroid,0.1,0.1,(-8531.56689023985, 6710583.1476802, 非数字),System.Collections.Generic.List`1[GAsty.Network.Core.GeoLink],POINT (-8531.5668902398465 6710583.147680195),0,{X=920,Y=235,Width=15,Height=15},15,15
30,"GeoNode","Unknown",838,103,Centroid,0.6,0.6,(-9547.80239425412, 6712164.59281847, 非数字),System.Collections.Generic.List`1[GAsty.Network.Core.GeoLink],POINT (-9547.80239425412 6712164.5928184651),0,{X=831,Y=96,Width=15,Height=15},15,15
31,"GeoNode","Unknown",766,55,Centroid,0,0,(-10369.9254986252, 6712712.67488804, 非数字),System.Collections.Generic.List`1[GAsty.Network.Core.GeoLink],POINT (-10369.92549862522 6712712.6748880446),0,{X=759,Y=48,Width=15,Height=15},15,15
32,"GeoNode","Unknown",547,120,Centroid,0.1,0.1,(-12870.5499410873, 6711976.18960705, 非数字),System.Collections.Generic.List`1[GAsty.Network.Core.GeoLink],POINT (-12870.549941087313 6711976.1896070465),0,{X=540,Y=113,Width=15,Height=15},15,15
33,"GeoNode","Unknown",567,256,Centroid,0.3,0.3,(-12647.8916003201, 6710423.2904099, 非数字),System.Collections.Generic.List`1[GAsty.Network.Core.GeoLink],POINT (-12647.891600320139 6710423.2904099),2,{X=560,Y=249,Width=15,Height=15},15,15
34,"GeoNode","Unknown",728,134,Centroid,0.9,0.9,(-10809.5329919348, 6711816.33233675, 非数字),System.Collections.Generic.List`1[GAsty.Network.Core.GeoLink],POINT (-10809.532991934766 6711816.3323367517),0,{X=721,Y=127,Width=15,Height=15},15,15
35,"GeoNode","Unknown",747,270,Centroid,0.1,0.1,(-10586.8746511676, 6710263.43313961, 非数字),System.Collections.Generic.List`1[GAsty.Network.Core.GeoLink],POINT (-10586.874651167593 6710263.4331396064),0,{X=740,Y=263,Width=15,Height=15},15,15
36,"GeoNode","Unknown",831,618,Edge,1,0.8,(-9633.44021762611, 6706289.83813515, 非数字),System.Collections.Generic.List`1[GAsty.Network.Core.GeoLink],POINT (-9633.44021762611 6706289.8381351465),2,{X=824,Y=611,Width=15,Height=15},15,15
37,"GeoNode","Unknown",704,588,Centroid,0.1,0.1,(-11083.5740267251, 6706632.38942864, 非数字),System.Collections.Generic.List`1[GAsty.Network.Core.GeoLink],POINT (-11083.574026725131 6706632.3894286351),0,{X=697,Y=581,Width=15,Height=15},15,15
38,"GeoNode","Unknown",916,560,Centroid,0.8,0.8,(-8662.87821941023, 6706946.394781, 非数字),System.Collections.Generic.List`1[GAsty.Network.Core.GeoLink],POINT (-8662.87821941023 6706946.3947809981),0,{X=909,Y=553,Width=15,Height=15},15,15
39,"GeoNode","Unknown",20,322,Edge,1,0.4,(-18893.7435182506, 6709669.67756423, 非数字),System.Collections.Generic.List`1[GAsty.Network.Core.GeoLink],POINT (-18893.743518250572 6709669.677564227),2,{X=13,Y=315,Width=15,Height=15},15,15
40,"GeoNode","Unknown",106,273,Centroid,0.7,0.7,(-17906.0539553603, 6710223.46882203, 非数字),System.Collections.Generic.List`1[GAsty.Network.Core.GeoLink],POINT (-17906.053955360294 6710223.4688220322),0,{X=99,Y=266,Width=15,Height=15},15,15
41,"GeoNode","Unknown",77,359,Centroid,0.7,0.7,(-18237.1868723987, 6709247.19763559, 非数字),System.Collections.Generic.List`1[GAsty.Network.Core.GeoLink],POINT (-18237.186872398652 6709247.197635591),0,{X=70,Y=352,Width=15,Height=15},15,15
42,"GeoNode","Unknown",468,350,Centroid,0,0,(-13772.6016806056, 6709349.96302364, 非数字),System.Collections.Generic.List`1[GAsty.Network.Core.GeoLink],POINT (-13772.6016806056 6709349.9630236384),0,{X=461,Y=343,Width=15,Height=15},15,15
43,"GeoNode","Unknown",683,219,Centroid,0.2,0.2,(-11317.6507439419, 6710845.77033853, 非数字),System.Collections.Generic.List`1[GAsty.Network.Core.GeoLink],POINT (-11317.650743941904 6710845.7703385344),0,{X=676,Y=212,Width=15,Height=15},15,15
44,"GeoNode","Unknown",410,596,Centroid,0.7,0.7,(-14440.5767029071, 6706541.04241704, 非数字),System.Collections.Generic.List`1[GAsty.Network.Core.GeoLink],POINT (-14440.576702907118 6706541.0424170382),0,{X=403,Y=589,Width=15,Height=15},15,15
