GeoLink List - Total Count: 27

ID,Name,Service,Geometry,FromNodeID,ToNodeID,RiskAij,RiskPij,FromPoint,ToPoint,CentrolPoint,FromNodeCoordinate,ToNodeCoordinate,CentroidCoordinate,FromNode,ToNode,CentralNode
14,"GeoLink","Unknown",LINESTRING (-7075.7238929160249 6709898.04509322, -9987.4098875636664 6711268.2502671713),14,7,0.3,0.6,{X=1055,Y=302},{X=800,Y=182},{X=928,Y=242},(-7075.72389291602, 6709898.04509322, 非数字),(-9987.40988756367, 6711268.25026717, 非数字),,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode
15,"GeoLink","Unknown",LINESTRING (-9987.4098875636664 6711268.2502671713, -9108.1949009445743 6713060.9353697579),7,8,0.1,0.6,{X=800,Y=182},{X=877,Y=25},{X=839,Y=101},(-9987.40988756367, 6711268.25026717, 非数字),(-9108.19490094457, 6713060.93536976, 非数字),,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode
16,"GeoLink","Unknown",LINESTRING (-9108.1949009445743 6713060.9353697579, -11631.656096305866 6712364.4144063322),8,9,0.6,0.8,{X=877,Y=25},{X=656,Y=86},{X=767,Y=55},(-9108.19490094457, 6713060.93536976, 非数字),(-11631.6560963059, 6712364.41440633, 非数字),,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode
17,"GeoLink","Unknown",LINESTRING (-11631.656096305866 6712364.4144063322, -14109.44378586876 6711587.96480776),9,10,0.9,0.6,{X=656,Y=86},{X=439,Y=154},{X=546,Y=120},(-11631.6560963059, 6712364.41440633, 非数字),(-14109.4437858688, 6711587.96480776, 非数字),,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode
18,"GeoLink","Unknown",LINESTRING (-14109.44378586876 6711587.96480776, -11186.339414771519 6709258.6160120415),10,6,0.9,0.3,{X=439,Y=154},{X=695,Y=358},{X=569,Y=254},(-14109.4437858688, 6711587.96480776, 非数字),(-11186.3394147715, 6709258.61601204, 非数字),,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode
19,"GeoLink","Unknown",LINESTRING (-11631.656096305866 6712364.4144063322, -9987.4098875636664 6711268.2502671713),9,7,0,0.4,{X=656,Y=86},{X=800,Y=182},{X=726,Y=133},(-11631.6560963059, 6712364.41440633, 非数字),(-9987.40988756367, 6711268.25026717, 非数字),,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode
20,"GeoLink","Unknown",LINESTRING (-9987.4098875636664 6711268.2502671713, -11186.339414771519 6709258.6160120415),7,6,0.2,0.8,{X=800,Y=182},{X=695,Y=358},{X=746,Y=271},(-9987.40988756367, 6711268.25026717, 非数字),(-11186.3394147715, 6709258.61601204, 非数字),,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode
21,"GeoLink","Unknown",LINESTRING (-12533.707835824152 6706974.9407221219, -9633.44021762611 6706289.8381351465),5,36,0.9,0.5,{X=577,Y=558},{X=831,Y=618},{X=704,Y=587},(-12533.7078358242, 6706974.94072212, 非数字),(-9633.44021762611, 6706289.83813515, 非数字),,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode
22,"GeoLink","Unknown",LINESTRING (-9633.44021762611 6706289.8381351465, -7692.3162211943491 6707602.95142685),36,15,0.5,0.1,{X=831,Y=618},{X=1001,Y=503},{X=917,Y=559},(-9633.44021762611, 6706289.83813515, 非数字),(-7692.31622119435, 6707602.95142685, 非数字),,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode
23,"GeoLink","Unknown",LINESTRING (-16918.364392470015 6710777.2600798383, -18893.743518250572 6709669.677564227),2,39,0.9,0.9,{X=193,Y=225},{X=20,Y=322},{X=106,Y=273},(-16918.36439247, 6710777.26007984, 非数字),(-18893.7435182506, 6709669.67756423, 非数字),,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode
24,"GeoLink","Unknown",LINESTRING (-18893.743518250572 6709669.677564227, -17580.630226546731 6708824.7177069569),39,13,0.9,0.4,{X=20,Y=322},{X=135,Y=396},{X=78,Y=360},(-18893.7435182506, 6709669.67756423, 非数字),(-17580.6302265467, 6708824.71770696, 非数字),,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode
25,"GeoLink","Unknown",LINESTRING (-12647.891600320139 6710423.2904099, -14897.311760891062 6708276.6356373765),33,4,0.9,0.8,{X=567,Y=256},{X=370,Y=444},{X=470,Y=353},(-12647.8916003201, 6710423.2904099, 非数字),(-14897.3117608911, 6708276.63563738, 非数字),,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode
26,"GeoLink","Unknown",LINESTRING (-12647.891600320139 6710423.2904099, -9987.4098875636664 6711268.2502671713),33,7,0.2,0.7,{X=567,Y=256},{X=800,Y=182},{X=685,Y=218},(-12647.8916003201, 6710423.2904099, 非数字),(-9987.40988756367, 6711268.25026717, 非数字),,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode
27,"GeoLink","Unknown",LINESTRING (-16347.445569990085 6706107.1441119527, -12533.707835824152 6706974.9407221219),12,5,0.4,0.4,{X=243,Y=634},{X=577,Y=558},{X=412,Y=595},(-16347.4455699901, 6706107.14411195, 非数字),(-12533.7078358242, 6706974.94072212, 非数字),,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode,GAsty.Network.Core.GeoNode
